kafka2-1  | [2026-03-17 05:57:46,524] INFO Deleted log /tmp/kafka-logs/95991FF50A565E1A65D27DEE03F93BB336EEC429B4D55B97BA21EE8DB990-1/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,524] INFO Deleted offset index /tmp/kafka-logs/95991FF50A565E1A65D27DEE03F93BB336EEC429B4D55B97BA21EE8DB990-1/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,524] INFO Deleted time index /tmp/kafka-logs/95991FF50A565E1A65D27DEE03F93BB336EEC429B4D55B97BA21EE8DB990-1/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,525] INFO [LocalLog partition=95991FF50A565E1A65D27DEE03F93BB336EEC429B4D55B97BA21EE8DB990-0, dir=/tmp/kafka-logs/95991FF50A565E1A65D27DEE03F93BB336EEC429B4D55B97BA21EE8DB990-0] Deleting segment files LogSegment(baseOffset=0, size=74549, lastModifiedTime=1773723400412, largestRecordTimestamp=1773723399934) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 05:57:46,525] INFO Deleted log /tmp/kafka-logs/95991FF50A565E1A65D27DEE03F93BB336EEC429B4D55B97BA21EE8DB990-0/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,526] INFO Deleted offset index /tmp/kafka-logs/95991FF50A565E1A65D27DEE03F93BB336EEC429B4D55B97BA21EE8DB990-0/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,526] INFO Deleted time index /tmp/kafka-logs/95991FF50A565E1A65D27DEE03F93BB336EEC429B4D55B97BA21EE8DB990-0/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,527] INFO [LocalLog partition=94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-6, dir=/tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-6] Deleting segment files LogSegment(baseOffset=0, size=12517, lastModifiedTime=1773723400333, largestRecordTimestamp=1773723399397) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 05:57:46,527] INFO Deleted log /tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-6/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,527] INFO Deleted offset index /tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-6/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,527] INFO Deleted time index /tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-6/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,527] INFO [LocalLog partition=4F83647CC8279E000AEE37EA38E08EC19BC8FD35BEFF257AB0F5B4EDA5BA-1, dir=/tmp/kafka-logs/4F83647CC8279E000AEE37EA38E08EC19BC8FD35BEFF257AB0F5B4EDA5BA-1] Deleting segment files LogSegment(baseOffset=0, size=28295, lastModifiedTime=1773723399393, largestRecordTimestamp=1773723398226) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 05:57:46,527] INFO Deleted log /tmp/kafka-logs/4F83647CC8279E000AEE37EA38E08EC19BC8FD35BEFF257AB0F5B4EDA5BA-1/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,527] INFO Deleted offset index /tmp/kafka-logs/4F83647CC8279E000AEE37EA38E08EC19BC8FD35BEFF257AB0F5B4EDA5BA-1/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,527] INFO Deleted time index /tmp/kafka-logs/4F83647CC8279E000AEE37EA38E08EC19BC8FD35BEFF257AB0F5B4EDA5BA-1/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,528] INFO [LocalLog partition=94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-5, dir=/tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-5] Deleting segment files LogSegment(baseOffset=0, size=14935, lastModifiedTime=1773723400399, largestRecordTimestamp=1773723399397) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 05:57:46,529] INFO Deleted log /tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-5/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,529] INFO Deleted offset index /tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-5/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,529] INFO Deleted time index /tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-5/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
